Levenshtein; Jaccard; Overlap
n69;934;0.12560386473429952;0.8125
n70;1332;0.12430939226519337;0.46875
n71;2229;0.08152173913043478;0.6
n72;2543;0.08312342569269521;0.75
n73;3992;0.04552590266875981;0.725
n74;757;0.037267080745341616;0.4
n75;427;0.15306122448979592;0.8823529411764706
n76;454;0.14583333333333334;0.875
n77;975;0.0880503144654088;0.6666666666666666
n78;1197;0.09844559585492228;0.6551724137931034
n79;1581;0.10030395136778116;0.6346153846153846
n80;1215;0.1206896551724138;0.7567567567567568
n81;1193;0.03571428571428571;0.5384615384615384
n82;1507;0.07307692307692308;0.5757575757575758
n83;1413;0.05818181818181818;0.48484848484848486
n84;1309;0.09210526315789473;0.7241379310344828
n85;1538;0.13360323886639677;0.8918918918918919
n86;686;0.0872093023255814;0.3333333333333333
n87;1236;0.15813953488372093;0.85
n88;1407;0.1306122448979592;0.7804878048780488
n89;1303;0.1271186440677966;0.6521739130434783
n90;169;0.0;0.0
n91;257;0.0;0.0
n92;301;0.08974358974358974;0.5833333333333334
n93;2120;0.002398081534772182;0.037037037037037035
n94;2505;0.10461538461538461;0.8717948717948718
n95;3080;0.01890359168241966;0.4
n96;514;0.023809523809523808;0.08571428571428572
n97;1263;0.0794392523364486;0.5483870967741935
n98;2110;0.013953488372093023;0.2727272727272727
n99;1877;0.09375;0.7297297297297297
n100;1830;0.1103202846975089;0.8157894736842105
v1;245;0.36538461538461536;0.9047619047619048
v2;2260;0.0215633423180593;0.5
v3;1147;0.022988505747126436;0.4444444444444444
v4;388;0.42424242424242425;0.8571428571428571
v5;1476;0.03864734299516908;1.0
v6;1398;0.06691449814126393;0.6
v7;3619;0.08395522388059702;0.703125
v8;3707;0.09021113243761997;0.734375
v9;721;0.1926605504587156;0.9130434782608695
v10;528;0.25;0.9090909090909091
v11;2738;0.06192660550458716;0.6428571428571429
v12;320;0.0;0.0
v13;2400;0.05141388174807198;0.7142857142857143
v14;1787;0.08498583569405099;0.6521739130434783
v15;1792;0.0066815144766146995;0.16666666666666666
v16;1297;0.039119804400977995;0.37209302325581395
v17;2604;0.036585365853658534;0.627906976744186
v18;3804;0.0;0.0
v19;3186;0.02952029520295203;0.48484848484848486
v20;2214;0.00546448087431694;0.08695652173913043
v21;1926;0.0;0.0
v22;128;0.43478260869565216;0.6666666666666666
v23;1915;0.08908045977011494;0.6888888888888889
v24;173;0.0;0.0
v25;500;0.02962962962962963;0.25
v26;638;0.06289308176100629;0.625
v27;1529;0.032388663967611336;0.7272727272727273
v28;1542;0.048034934497816595;0.7857142857142857
v29;1675;0.044;0.7857142857142857
v30;1879;0.03900709219858156;0.7333333333333333
v31;713;0.17592592592592593;0.9047619047619048
v32;5689;0.0048712595685455815;0.16279069767441862
v33;607;0.07258064516129033;0.6428571428571429
v34;1725;0.07092198581560284;0.8695652173913043
v35;529;0.0;0.0
v36;786;0.1678832116788321;0.8846153846153846
v37;651;0.07567567567567568;0.4827586206896552
v38;2157;0.0015060240963855422;0.1
v39;989;0.01935483870967742;0.5
v40;709;0.0425531914893617;0.6666666666666666
v41;1187;0.01195219123505976;0.25
v42;533;0.1650485436893204;0.8095238095238095
v43;509;0.1926605504587156;0.8076923076923077
v44;2052;0.016835016835016835;0.8333333333333334
v45;830;0.028985507246376812;1.0
v46;1251;0.04784688995215311;0.625
v47;953;0.056818181818181816;0.625
v48;1331;0.11196911196911197;0.6590909090909091
v49;580;0.05555555555555555;0.4666666666666667
v50;564;0.06993006993006994;0.43478260869565216
v51;488;0.0703125;0.391304347826087
v52;3509;0.00331858407079646;0.1
v53;316;0.009174311926605505;0.07692307692307693
v54;507;0.012048192771084338;0.07407407407407407
v55;330;0.0;0.0
v56;1271;0.08783783783783784;0.6666666666666666
v57;810;0.038461538461538464;0.8333333333333334
v58;993;0.00966183574879227;0.13333333333333333
v59;737;0.1111111111111111;0.6521739130434783
v60;330;0.2222222222222222;0.9
v61;362;0.03;0.0625
v62;370;0.016260162601626018;0.03636363636363636
v63;763;0.08163265306122448;0.7058823529411765
v64;1630;0.0024509803921568627;0.1
v65;327;0.08620689655172414;0.45454545454545453
v66;563;0.06481481481481481;0.5384615384615384
v67;1285;0.013761467889908258;0.5
v68;286;0.0;0.0
v69;1190;0.08035714285714286;0.6428571428571429
v70;127;0.0;0.0
v71;864;0.0;0.0
v72;972;0.13;0.8666666666666667
v73;570;0.1322314049586777;0.8888888888888888
v74;452;0.21212121212121213;0.84
v75;656;0.11724137931034483;0.5666666666666667
v76;352;0.08653846153846154;0.3333333333333333
v77;120;0.0;0.0
v78;1799;0.021739130434782608;0.6
v79;339;0.0;0.0
v80;1087;0.06779661016949153;0.6666666666666666
v81;921;0.042105263157894736;0.5
v82;1095;0.07853403141361257;0.75
v83;798;0.005128205128205128;0.045454545454545456
v84;762;0.08333333333333333;0.6666666666666666
v85;1592;0.046263345195729534;0.65
v86;846;0.04487179487179487;0.875
v87;1366;0.0;0.0
v88;750;0.026490066225165563;0.3333333333333333
v89;809;0.023121387283236993;0.3333333333333333
v90;474;0.010582010582010581;0.06060606060606061
v91;1084;0.025;0.6
v92;1061;0.005208333333333333;0.07692307692307693
v93;707;0.11486486486486487;0.6071428571428571
v94;1829;0.10358565737051793;0.7222222222222222
v95;2525;0.04187192118226601;0.4722222222222222
v96;650;0.00847457627118644;0.05555555555555555
v97;3526;0.0;0.0
v98;1216;0.1201923076923077;0.8620689655172413
v99;2501;0.043478260869565216;0.7142857142857143
v100;1928;0.07973421926910298;0.7741935483870968
