ID;raw L;raw J;raw O; BW Levenshtein;BW Jaccard;BW Overlap;GS Levenshtein;GS Jaccard;GS Overlap;GBremove Levenshtein;GBremove Jaccard;GBremove Overlap
n16;4311;0.021170610211706103;0.2698412698412698;4080;0.025;0.2857142857142857;4209;0.026499302649930265;0.30158730158730157;3639;0.024963289280469897;0.2698412698412698
n17;771;0.06557377049180328;0.32653061224489793;1619;0.033216783216783216;0.3877551020408163;825;0.11814345991561181;0.5714285714285714;589;0.05405405405405406;0.20408163265306123
n18;780;0.11848341232227488;0.5102040816326531;1066;0.08223684210526316;0.5102040816326531;829;0.12280701754385964;0.5714285714285714;907;0.12017167381974249;0.5714285714285714
n19;896;0.07723577235772358;0.3584905660377358;578;0.11917098445595854;0.4339622641509434;951;0.12030075187969924;0.6037735849056604;754;0.1031390134529148;0.4339622641509434
n20;2393;0.010810810810810811;0.11764705882352941;2336;0.010050251256281407;0.11764705882352941;2404;0.010075566750629723;0.11764705882352941;2342;0.01092896174863388;0.11764705882352941
n21;162;0.0;0.0;1263;0.0064516129032258064;0.08333333333333333;1574;0.042042042042042045;0.5833333333333334;163;0.0;0.0
n22;470;0.226890756302521;0.7941176470588235;354;0.29347826086956524;0.7941176470588235;363;0.2903225806451613;0.7941176470588235;358;0.2916666666666667;0.8235294117647058
n23;397;0.0;0.0;296;0.0;0.0;406;0.0;0.0;152;0.0;0.0
n24;460;0.0;0.0;911;0.046153846153846156;0.2;713;0.0037735849056603774;0.016666666666666666;849;0.0;0.0
n25;882;0.012461059190031152;0.07017543859649122;426;0.025906735751295335;0.08771929824561403;629;0.06637168141592921;0.2631578947368421;410;0.10869565217391304;0.2631578947368421
n26;516;0.1875;0.6;432;0.2283464566929134;0.6444444444444445;515;0.18620689655172415;0.6;468;0.19708029197080293;0.6
n27;804;0.27238805970149255;0.6403508771929824;844;0.2379182156133829;0.5614035087719298;945;0.25;0.5701754385964912;855;0.24731182795698925;0.6052631578947368
n28;5243;0.0011661807580174927;0.03508771929824561;3571;0.0014577259475218659;0.03508771929824561;4470;0.005326231691078562;0.14035087719298245;3172;0.01342882721575649;0.2631578947368421
n29;420;0.1366906474820144;0.4222222222222222;443;0.10828025477707007;0.37777777777777777;547;0.12048192771084337;0.4444444444444444;505;0.10179640718562874;0.37777777777777777
n30;589;0.08163265306122448;0.35555555555555557;548;0.07065217391304347;0.28888888888888886;511;0.08379888268156424;0.3333333333333333;461;0.04375;0.15555555555555556
n31;371;0.2047244094488189;0.5306122448979592;544;0.1005586592178771;0.3673469387755102;750;0.11013215859030837;0.5102040816326531;532;0.12883435582822086;0.42857142857142855
n32;1276;0.004784688995215311;0.14285714285714285;263;0.0;0.0;267;0.010752688172043012;0.07142857142857142;149;0.0;0.0
n33;1037;0.017964071856287425;0.75;932;0.02097902097902098;0.75;932;0.021739130434782608;0.75;987;0.016853932584269662;0.75
n34;1951;0.029535864978902954;0.3684210526315789;1566;0.030848329048843187;0.3157894736842105;1494;0.04838709677419355;0.47368421052631576;1387;0.12080536912751678;0.9473684210526315
n35;196;0.0;0.0;198;0.010638297872340425;0.03571428571428571;243;0.0;0.0;198;0.0;0.0
n36;756;0.004830917874396135;0.02702702702702703;1271;0.06477732793522267;0.43243243243243246;1451;0.04501607717041801;0.3783783783783784;1027;0.00390625;0.02702702702702703
n37;815;0.04032258064516129;0.7142857142857143;891;0.02097902097902098;0.42857142857142855;840;0.04;0.7142857142857143;857;0.015267175572519083;0.2857142857142857
n38;776;0.024193548387096774;0.42857142857142855;843;0.045112781954887216;0.8571428571428571;808;0.046153846153846156;0.8571428571428571;841;0.037037037037037035;0.7142857142857143
n39;1127;0.057692307692307696;0.7058823529411765;1147;0.07246376811594203;0.8823529411764706;1220;0.06976744186046512;0.8823529411764706;1107;0.07253886010362694;0.8235294117647058
n40;848;0.0;0.0;863;0.0;0.0;855;0.0;0.0;797;0.0;0.0
n41;1705;0.030360531309297913;0.34782608695652173;3395;0.0;0.0;1076;0.03293413173652695;0.2391304347826087;545;0.22794117647058823;0.6739130434782609
n42;538;0.2692307692307692;0.6774193548387096;541;0.27631578947368424;0.6774193548387096;535;0.2611464968152866;0.6612903225806451;546;0.28289473684210525;0.6935483870967742
n43;2295;0.0;0.0;3619;0.0;0.0;502;0.16666666666666666;0.5813953488372093;543;0.15476190476190477;0.6046511627906976
n44;865;0.125;0.7428571428571429;803;0.08415841584158416;0.4857142857142857;866;0.140625;0.7714285714285715;783;0.12359550561797752;0.6285714285714286
