Levenshtein; Jaccard; Overlap
n56;656;0.09340659340659341;0.40476190476190477
n57;630;0.22535211267605634;0.7804878048780488
n58;1042;0.06907894736842106;0.44680851063829785
n59;3703;0.003929273084479371;0.13333333333333333
n60;268;0.2153846153846154;0.9333333333333333
n61;1848;0.0696969696969697;0.8214285714285714
n62;1083;0.061224489795918366;0.2647058823529412
n63;2072;0.012658227848101266;0.14583333333333334
n64;1177;0.052;0.5
n65;1997;0.040697674418604654;0.6666666666666666
n66;735;0.0989010989010989;0.5806451612903226
n67;1016;0.0893854748603352;0.8888888888888888
n68;1156;0.07142857142857142;0.64
n69;1081;0.09691629955947137;0.6875
n70;1350;0.11559139784946236;0.4479166666666667
n71;2395;0.07435897435897436;0.58
n72;2401;0.07552083333333333;0.6590909090909091
n73;4817;0.03636363636363636;0.7
n74;762;0.07317073170731707;0.8
n75;414;0.16666666666666666;0.8823529411764706
n76;488;0.1388888888888889;0.9375
n77;998;0.10975609756097561;0.8571428571428571
n78;1250;0.10185185185185185;0.7586206896551724
n79;1309;0.13167259786476868;0.7115384615384616
n80;1120;0.1141552511415525;0.6756756756756757
n81;1297;0.046296296296296294;0.7692307692307693
n82;1723;0.05351170568561873;0.48484848484848486
n83;1566;0.06020066889632107;0.5454545454545454
n84;1484;0.07954545454545454;0.7241379310344828
n85;1504;0.13865546218487396;0.8918918918918919
n86;1056;0.1261682242990654;0.6
n87;1102;0.165;0.825
n88;1427;0.12863070539419086;0.7560975609756098
n89;1327;0.1297071129707113;0.6739130434782609
n90;2455;0.02696078431372549;0.5238095238095238
n91;6704;0.0005344735435595938;0.058823529411764705
n92;425;0.09375;0.75
n93;2109;0.002564102564102564;0.037037037037037035
n94;2040;0.08156028368794327;0.5897435897435898
n95;2686;0.04941176470588235;0.84
n96;2907;0.06896551724137931;0.8
n97;1376;0.09913793103448276;0.7419354838709677
n98;2817;0.03695652173913044;0.7727272727272727
n99;1890;0.07051282051282051;0.5945945945945946
n100;1863;0.062111801242236024;0.5263157894736842
v1;237;0.3137254901960784;0.7619047619047619
v2;2257;0.029490616621983913;0.6875
v3;1267;0.031578947368421054;0.6666666666666666
v4;405;0.0;0.0
v5;1554;0.038461538461538464;1.0
v6;1453;0.0684931506849315;0.6666666666666666
v7;3583;0.07518796992481203;0.625
v8;3585;0.09126984126984126;0.71875
v9;720;0.1926605504587156;0.9130434782608695
v10;537;0.234375;0.9090909090909091
v11;2891;0.06609808102345416;0.7380952380952381
v12;302;0.0;0.0
v13;2451;0.04488778054862843;0.6428571428571429
v14;2160;0.001303780964797914;0.021739130434782608
v15;2031;0.03785488958990536;0.6666666666666666
v16;3147;0.02771618625277162;0.5813953488372093
v17;5510;0.004733727810650888;0.18604651162790697
v18;4507;0.0;0.0
v19;3516;0.043327556325823226;0.7575757575757576
v20;2434;0.004597701149425287;0.08695652173913043
v21;2436;0.0;0.0
v22;111;0.4696969696969697;0.6888888888888889
v23;1955;0.09375;0.7333333333333333
v24;275;0.0;0.0
v25;672;0.020618556701030927;0.25
v26;669;0.06321839080459771;0.6875
v27;1571;0.032;0.7272727272727273
v28;1580;0.045454545454545456;0.7857142857142857
v29;1612;0.0411522633744856;0.7142857142857143
v30;1903;0.03754266211604096;0.7333333333333333
v31;753;0.18095238095238095;0.9047619047619048
v32;7849;0.0019011406844106464;0.09302325581395349
v33;632;0.06521739130434782;0.6428571428571429
v34;1620;0.08300395256916997;0.9130434782608695
v35;887;0.0;0.0
v36;807;0.16312056737588654;0.8846153846153846
v37;578;0.13815789473684212;0.7241379310344828
v38;2629;0.0;0.0
v39;885;0.021739130434782608;0.5
v40;754;0.04504504504504504;0.8333333333333334
v41;1038;0.008547008547008548;0.16666666666666666
v42;605;0.13709677419354838;0.8095238095238095
v43;563;0.168;0.8076923076923077
v44;1992;0.00946372239747634;0.5
v45;985;0.019867549668874173;0.75
v46;1257;0.05803571428571429;0.8125
v47;896;0.0650887573964497;0.6875
v48;1050;0.1288888888888889;0.6590909090909091
v49;605;0.08333333333333333;0.6666666666666666
v50;712;0.13125;0.9130434782608695
v51;644;0.0650887573964497;0.4782608695652174
v52;2294;0.05945945945945946;0.7333333333333333
v53;351;0.054945054945054944;0.38461538461538464
v54;634;0.08771929824561403;0.5555555555555556
v55;681;0.0979381443298969;0.5588235294117647
