ID;PSM1 Lev;PSM1 Jac;PSM1 Ove;PSM3 Lev;PSM3 Jac;PSM3 Ove;PSM6 Lev;PSM6 Jac;PSM6 Ove;PSM11 Lev;PSM11 Jac;PSM11 Ove;PSM12 Lev;PSM12 Jac;PSM12 Ove
n31;366;0.20909090909090908;0.46938775510204084;366;0.20909090909090908;0.46938775510204084;371;0.2047244094488189;0.5306122448979592;447;0.16666666666666666;0.42857142857142855;447;0.18181818181818182;0.4489795918367347
n32;105;0;0;105;0;0;1276;0.004784688995215311;0.14285714285714285;479;0.0072992700729927005;0.07142857142857142;429;0.008547008547008548;0.07142857142857142
n33;938;0.022388059701492536;0.75;938;0.022388059701492536;0.75;1037;0.017964071856287425;0.75;1013;0.02877697841726619;1.0;1060;0.02702702702702703;1.0
n34;776;0.05909090909090909;0.34210526315789475;776;0.05909090909090909;0.34210526315789475;1951;0.029535864978902954;0.3684210526315789;1299;0.028662420382165606;0.23684210526315788;1210;0.033783783783783786;0.2631578947368421
n35;204;0.0;0.0;204;0.0;0.0;196;0.0;0.0;199;0.0;0.0;194;0.02040816326530612;0.045454545454545456
n36;285;0.0;0.0;285;0.0;0.0;756;0.004830917874396135;0.02702702702702703;292;0.0;0.0;292;0.00980392156862745;0.02702702702702703
n37;729;0.05154639175257732;0.7142857142857143;729;0.05154639175257732;0.7142857142857143;815;0.04032258064516129;0.7142857142857143;730;0.041237113402061855;0.5714285714285714;720;0.042105263157894736;0.5714285714285714
n38;790;0.045454545454545456;0.8571428571428571;790;0.045454545454545456;0.8571428571428571;776;0.024193548387096774;0.42857142857142855;787;0.04065040650406504;0.7142857142857143;820;0.03968253968253968;0.7142857142857143
n39;1078;0.09302325581395349;0.9411764705882353;1078;0.09302325581395349;0.9411764705882353;1127;0.057692307692307696;0.7058823529411765;1147;0.08333333333333333;0.8823529411764706;1144;0.08379888268156424;0.8823529411764706
n40;740;0.0;0.0;740;0.0;0.0;848;0.0;0.0;824;0.006172839506172839;0.02631578947368421;824;0.006369426751592357;0.02631578947368421
n41;397;0.0;0.0;397;0.0;0.0;1705;0.030360531309297913;0.34782608695652173;1412;0.0049382716049382715;0.043478260869565216;2316;0.0;0.0
n42;535;0.27631578947368424;0.6774193548387096;535;0.27631578947368424;0.6774193548387096;538;0.2692307692307692;0.6774193548387096;564;0.267515923566879;0.6774193548387096;569;0.2641509433962264;0.6774193548387096
n43;367;0.0;0.0;367;0.0;0.0;2295;0.0;0.0;1135;0.0;0.0;1519;0.0;0.0
n44;374;0.27835051546391754;0.7714285714285715;374;0.27835051546391754;0.7714285714285715;865;0.125;0.7428571428571429;763;0.14545454545454545;0.6857142857142857;785;0.14285714285714285;0.6571428571428571
n45;625;0.2251655629139073;0.8292682926829268;625;0.2251655629139073;0.8292682926829268;757;0.16939890710382513;0.7560975609756098;667;0.20915032679738563;0.7804878048780488;672;0.1987179487179487;0.7560975609756098
n46;1435;0.11428571428571428;0.8888888888888888;1435;0.11428571428571428;0.8888888888888888;1514;0.09561752988047809;0.8888888888888888;1597;0.1091703056768559;0.9259259259259259;1568;0.11013215859030837;0.9259259259259259
n47;517;0.21568627450980393;0.88;517;0.21568627450980393;0.88;644;0.18045112781954886;0.96;665;0.1640625;0.84;630;0.14393939393939395;0.76
n48;753;0.29375;0.7704918032786885;753;0.29375;0.7704918032786885;850;0.24479166666666666;0.7704918032786885;814;0.23369565217391305;0.7049180327868853;820;0.23497267759562843;0.7049180327868853
n49;785;0.09090909090909091;0.56;785;0.09090909090909091;0.56;795;0.033707865168539325;0.24;954;0.08333333333333333;0.6;913;0.08875739644970414;0.6
n50;415;0.13333333333333333;0.48;415;0.13333333333333333;0.48;576;0.15873015873015872;0.8;533;0.17592592592592593;0.76;538;0.17592592592592593;0.76
n51;618;0.1694915254237288;0.8;618;0.1694915254237288;0.8;535;0.18269230769230768;0.76;629;0.15966386554621848;0.76;600;0.16666666666666666;0.76
n52;439;0.26744186046511625;0.9583333333333334;439;0.26744186046511625;0.9583333333333334;803;0.12571428571428572;0.9166666666666666;848;0.13043478260869565;0.875;843;0.1337579617834395;0.875
n53;757;0.20408163265306123;0.7692307692307693;757;0.20408163265306123;0.7692307692307693;684;0.2108843537414966;0.7948717948717948;871;0.13756613756613756;0.6666666666666666;881;0.14136125654450263;0.6923076923076923
n54;613;0.2302158273381295;0.7619047619047619;613;0.2302158273381295;0.7619047619047619;764;0.17297297297297298;0.7619047619047619;935;0.14418604651162792;0.7380952380952381;922;0.14553990610328638;0.7380952380952381
n55;771;0.15862068965517243;0.7419354838709677;771;0.15862068965517243;0.7419354838709677;829;0.11904761904761904;0.6451612903225806;825;0.12738853503184713;0.6451612903225806;828;0.12738853503184713;0.6451612903225806
n56;881;0.0;0.0;922;0.14732142857142858;0.7857142857142857;874;0.165;0.7857142857142857;796;0.19337016574585636;0.8333333333333334;879;0.0;0.0
n57;748;0.2323943661971831;0.8048780487804879;748;0.2323943661971831;0.8048780487804879;615;0.2229299363057325;0.8536585365853658;699;0.19047619047619047;0.6829268292682927;707;0.17333333333333334;0.6341463414634146
n58;367;0.008264462809917356;0.02127659574468085;351;0.006756756756756757;0.02127659574468085;2844;0.011015911872705019;0.19148936170212766;1256;0.01694915254237288;0.1276595744680851;1754;0.0021691973969631237;0.02127659574468085
n59;297;0;0;297;0;0;2230;0.0;0.0;872;0.0;0.0;835;0.0;0.0
n60;237;0.2692307692307692;0.9333333333333333;237;0.2692307692307692;0.9333333333333333;238;0.22950819672131148;0.9333333333333333;151;0.4375;0.9333333333333333;154;0.42424242424242425;0.9333333333333333
n61;1539;0.0711864406779661;0.75;1539;0.0711864406779661;0.75;2321;0.05161290322580645;0.8571428571428571;1733;0.06325301204819277;0.75;1722;0.06422018348623854;0.75
n62;599;0.09770114942528736;0.25;599;0.09770114942528736;0.25;850;0.02631578947368421;0.10294117647058823;786;0.17326732673267325;0.5147058823529411;833;0.17326732673267325;0.5147058823529411
n63;1470;0.07446808510638298;0.4375;1470;0.07446808510638298;0.4375;2105;0.0702576112412178;0.625;2127;0.05569620253164557;0.4583333333333333;2125;0.05569620253164557;0.4583333333333333
n64;433;0.07272727272727272;0.3076923076923077;433;0.07272727272727272;0.3076923076923077;1467;0.04276315789473684;0.5;679;0.03067484662576687;0.19230769230769232;676;0.03125;0.19230769230769232
n65;2144;0.0453257790368272;0.7619047619047619;2144;0.0453257790368272;0.7619047619047619;2200;0.03926701570680628;0.7142857142857143;2009;0.05460750853242321;0.7619047619047619;2020;0.05423728813559322;0.7619047619047619
n66;302;0.0;0.0;302;0.0;0.0;2033;0.028462998102466792;0.4838709677419355;1068;0.02390438247011952;0.1935483870967742;995;0.021367521367521368;0.16129032258064516
n67;777;0.0703125;0.5;777;0.0703125;0.5;1174;0.049107142857142856;0.6111111111111112;980;0.0;0.0;1016;0.03;0.3333333333333333
n68;1003;0.09392265193370165;0.68;1003;0.09392265193370165;0.68;1096;0.07906976744186046;0.68;1240;0.07456140350877193;0.68;1185;0.07727272727272727;0.68
n69;257;0.09375;0.1875;257;0.09375;0.1875;1009;0.125;0.84375;964;0.078125;0.46875;938;0.08021390374331551;0.46875
n70;1334;0.14244186046511628;0.5104166666666666;701;0.03954802259887006;0.07954545454545454;731;0.03669724770642202;0.08333333333333333;1423;0.1452991452991453;0.53125;1372;0.14619883040935672;0.5208333333333334
n71;421;0;0;421;0;0;2253;0.07552083333333333;0.58;2588;0.07177033492822966;0.6;2573;0.072992700729927;0.6
n72;2402;0.09455587392550144;0.75;2402;0.09455587392550144;0.75;2354;0.09090909090909091;0.75;2796;0.07783018867924528;0.75;2648;0.08638743455497382;0.75
n73;3718;0.05328596802841918;0.75;3718;0.05328596802841918;0.75;4014;0.041474654377880185;0.675;4205;0.049019607843137254;0.75;4195;0.04918032786885246;0.75
n74;538;0.14444444444444443;0.8666666666666667;1152;0.0051813471502590676;0.06666666666666667;1531;0.007042253521126761;0.13333333333333333;691;0.08527131782945736;0.7333333333333333;692;0.08870967741935484;0.7333333333333333
n75;399;0.17073170731707318;0.8235294117647058;399;0.17073170731707318;0.8235294117647058;421;0.17647058823529413;0.8823529411764706;486;0.1262135922330097;0.7647058823529411;486;0.1262135922330097;0.7647058823529411
n76;421;0.18518518518518517;0.9375;421;0.18518518518518517;0.9375;478;0.12380952380952381;0.8125;489;0.15789473684210525;0.9375;485;0.15463917525773196;0.9375
n77;1014;0.07878787878787878;0.6190476190476191;1014;0.07878787878787878;0.6190476190476191;1024;0.08383233532934131;0.6666666666666666;934;0.07894736842105263;0.5714285714285714;944;0.07741935483870968;0.5714285714285714
n78;1105;0.11242603550295859;0.6551724137931034;1105;0.11242603550295859;0.6551724137931034;1299;0.102803738317757;0.7586206896551724;1225;0.08247422680412371;0.5517241379310345;1209;0.08421052631578947;0.5517241379310345
n79;942;0.08189655172413793;0.36538461538461536;942;0.08189655172413793;0.36538461538461536;2199;0.05642023346303502;0.5576923076923077;1248;0.01529051987767584;0.09615384615384616;1165;0.0219435736677116;0.1346153846153846
n80;762;0.16993464052287582;0.7027027027027027;762;0.16993464052287582;0.7027027027027027;1139;0.12844036697247707;0.7567567567567568;1157;0.08771929824561403;0.5405405405405406;1235;0.09663865546218488;0.6216216216216216
n81;1294;0.04975124378109453;0.7692307692307693;1294;0.04975124378109453;0.7692307692307693;1327;0.043478260869565216;0.7692307692307693;1295;0.045454545454545456;0.6923076923076923;1279;0.04433497536945813;0.6923076923076923
n82;1499;0.08984375;0.696969696969697;1499;0.08984375;0.696969696969697;1442;0.0931174089068826;0.696969696969697;1584;0.08679245283018867;0.696969696969697;1582;0.08679245283018867;0.696969696969697
n83;1600;0.08571428571428572;0.7272727272727273;1600;0.08571428571428572;0.7272727272727273;1623;0.08391608391608392;0.7272727272727273;1619;0.08582089552238806;0.696969696969697;1621;0.08614232209737828;0.696969696969697
n84;1094;0.10714285714285714;0.7241379310344828;1094;0.10714285714285714;0.7241379310344828;1469;0.08333333333333333;0.7241379310344828;1350;0.0811965811965812;0.6551724137931034;1381;0.07883817427385892;0.6551724137931034
n85;1529;0.13389121338912133;0.8648648648648649;1529;0.13389121338912133;0.8648648648648649;1548;0.13580246913580246;0.8918918918918919;1670;0.11940298507462686;0.8648648648648649;1638;0.12355212355212356;0.8648648648648649
n86;777;0.10714285714285714;0.4666666666666667;777;0.10714285714285714;0.4666666666666667;1033;0.1324200913242009;0.6444444444444445;982;0.09333333333333334;0.4666666666666667;996;0.09333333333333334;0.4666666666666667
n87;902;0.12154696132596685;0.55;902;0.12154696132596685;0.55;1047;0.1065989847715736;0.525;960;0.09268292682926829;0.475;902;0.10416666666666667;0.5
n88;635;0.005988023952095809;0.024390243902439025;635;0.005988023952095809;0.024390243902439025;1382;0.13580246913580246;0.8048780487804879;1499;0.12698412698412698;0.7804878048780488;1501;0.12903225806451613;0.7804878048780488
n89;1357;0.14345991561181434;0.7391304347826086;1357;0.14345991561181434;0.7391304347826086;1538;0.12867647058823528;0.7608695652173914;1540;0.10408921933085502;0.6086956521739131;1591;0.099644128113879;0.6086956521739131
n90;173;0;0;173;0;0;170;0.0;0.0;153;0.0;0.0;165;0.0;0.0
n91;1768;0.043137254901960784;0.6470588235294118;1768;0.043137254901960784;0.6470588235294118;2288;0.01662049861495845;0.35294117647058826;2582;0.026525198938992044;0.5882352941176471;2577;0.026595744680851064;0.5882352941176471
n92;525;0.11494252873563218;0.8333333333333334;525;0.11494252873563218;0.8333333333333334;512;0.10989010989010989;0.8333333333333334;571;0.09433962264150944;0.8333333333333334;570;0.09433962264150944;0.8333333333333334
n93;5029;0.012610340479192938;0.37037037037037035;5029;0.012610340479192938;0.37037037037037035;4867;0.012903225806451613;0.37037037037037035;4376;0.0167427701674277;0.4074074074074074;4345;0.015220700152207;0.37037037037037035
n94;2400;0.11458333333333333;0.8461538461538461;2400;0.11458333333333333;0.8461538461538461;2087;0.12692307692307692;0.8461538461538461;2348;0.11301369863013698;0.8461538461538461;2373;0.11186440677966102;0.8461538461538461
n95;2904;0.04269662921348315;0.76;2904;0.04269662921348315;0.76;2881;0.04504504504504504;0.8;3304;0.03614457831325301;0.72;3298;0.036072144288577156;0.72
n96;347;0.0;0.0;347;0.0;0.0;1695;0.0;0.0;889;0.0;0.0;609;0.0;0.0
n97;1454;0.13488372093023257;0.9354838709677419;1454;0.13488372093023257;0.9354838709677419;1386;0.12017167381974249;0.9032258064516129;1495;0.13574660633484162;0.967741935483871;1499;0.13513513513513514;0.967741935483871
n98;187;0;0;187;0;0;156;0.02;0.045454545454545456;166;0.0;0.0;166;0.0;0.0
