PSM12 Levenshtein; PSM12 Jaccard; PSM12 Overlap
v37;464;0.19607843137254902;0.6896551724137931
v38;598;0.0;0.0
v39;897;0.032;0.6666666666666666
v40;702;0.044444444444444446;0.6666666666666666
v41;1134;0.05202312138728324;0.75
v42;588;0.14035087719298245;0.7619047619047619
v43;528;0.19090909090909092;0.8076923076923077
v44;2252;0.009009009009009009;0.5
v45;802;0.007407407407407408;0.25
v46;994;0.015306122448979591;0.1875
v47;841;0.07462686567164178;0.625
v48;1843;0.09602649006622517;0.6590909090909091
v49;629;0.102803738317757;0.7333333333333333
v50;775;0.10135135135135136;0.6521739130434783
v51;453;0.07920792079207921;0.34782608695652173
v52;2521;0.055825242718446605;0.7666666666666667
v53;329;0.06329113924050633;0.38461538461538464
v54;435;0.15306122448979592;0.5555555555555556
v55;483;0.1015625;0.38235294117647056
v56;270;0.0;0.0
v57;695;0.05319148936170213;0.8333333333333334
v58;954;0.040268456375838924;0.4
v59;702;0.12096774193548387;0.6521739130434783
v60;277;0.22727272727272727;0.75
v61;590;0.058823529411764705;0.18181818181818182
v62;938;0.09174311926605505;0.36363636363636365
v63;414;0.009615384615384616;0.058823529411764705
v64;939;0.0125;0.2
v65;1312;0.009345794392523364;0.2727272727272727
v66;1574;0.021505376344086023;0.6153846153846154
v67;199;0.0;0.0
v68;885;0.02158273381294964;0.5
v69;910;0.007272727272727273;0.047619047619047616
v70;69;0.17647058823529413;1.0
v71;830;0.0;0.0
v72;968;0.1076923076923077;0.7
v73;801;0.08695652173913043;0.7777777777777778
v74;719;0.11258278145695365;0.68
v75;713;0.13836477987421383;0.7333333333333333
v76;398;0.11764705882352941;0.4444444444444444
v77;115;0.0;0.0
v78;2172;0.022535211267605635;0.8
v79;2961;0.0;0.0
v80;1235;0.09248554913294797;0.8888888888888888
v81;871;0.06060606060606061;0.625
v82;1260;0.06;0.6
v83;1153;0.024390243902439025;0.22727272727272727
v84;4532;0.0;0.0
v85;1543;0.05511811023622047;0.7
v86;5060;0.0;0.0
v87;2088;0.07803468208092486;0.9
v88;519;0.009433962264150943;0.08333333333333333
v89;751;0.027210884353741496;0.3333333333333333
v90;263;0.0;0.0
v91;747;0.04697986577181208;0.7
v92;948;0.0064516129032258064;0.07692307692307693
v93;697;0.1693548387096774;0.75
v94;335;0.0;0.0
v95;2353;0.0736196319018405;0.6666666666666666
v96;1124;0.004016064257028112;0.05555555555555555
v97;1427;0.08333333333333333;0.6551724137931034
v98;1234;0.1073170731707317;0.7586206896551724
v99;368;0.0;0.0
v100;1531;0.09623430962343096;0.7419354838709677
