IMG;Ingr nr total - file;Ingr nr;Ingr nr identified;Ingr list;Ingr identified;Nr AB ingr - file;Nr AB ingr identified;AB ingr list - file;AB ingr list identified;Overlap (TP);Missed (FN);Extra (FP);AB ingr overlap (TP);AB ingr missed (FN);Wrongly flagged (FP)
n55;20;20;108;['ūdens', 'rapšu eļļa', 'piena pulveris', 'cukurs', 'modificēta ciete', 'sāls', 'ķiploki', 'olu dzeltenuma pulveris', 'pētersīļi', 'skābuma regulētāji', 'etiķskābe', 'citronskābe', 'ābolskābe', 'askorbīnskābe', 'ķiploku aromatizētāji', 'biezinātāji', 'guāra sveķi', 'ksantāna sveķi', 'konservants', 'kālija sorbāts'];[': ūdens. rapšu eļļa. piena pulveris, cukurs. modificē\nciete, sāls, ķiploki {0,7%}, olu dzeltenuma pulveris, pētersīļi, kaluma\na era aj riga rage askorbīnskābe}, ķiploku\n\nomatizetaji. biezinātāji {guāra sveķi. ksantāna sveki}. kons\n{kālija sorbāts}. a m nat\nm a\nprodukta vidējā uzturvērtība 100 g: | ieteicams līdz:\nenerģētiskā vērtība .........1170 kj/285 kcal | setīt atzīmi uz iepakojuma\n{aug aa atrat ana onennna tā kaa a ee nea ne ni, 275 g uzglabāt temperatūrā\n\nče! piesātinātās taukskābes ..... 329 |e3789 u.\nogļhidrāti... ausu. 140 | pēc atvēršanas\n\ni kobīemd cūku... aeeereenceens 2g uzglabāt iiedusskapi.\nodalumvielas ...... aaa... 1100\n\n2 ē | neto 3/09 :-\na a enim\n\na} ražotājs: sia „orkla foods latvija”, zvaigžņu iela 1,\n\nau omnia 8: oja „orla 0005 | 21v} tags | atvila, .\n\n'];2;4;['piena pulveris', 'olu dzeltenuma pulveris'];['piena', 'olu', 'cūku', 'dzeltenuma'];2;0;2;['piena', 'olu'];[];['cūku', 'dzeltenuma']
n56;27;27;108;['ūdens', 'rapšu eļļa', 'vājpiena pulveris', 'spirta etiķis', 'cukurs', 'modificēta ciete', 'olu dzeltenums', 'jodēts sāls', 'dārza garšaugi', 'maurloki', 'sīpoli', 'paprika', 'pētersīļi', 'garšvielas', 'satur piena sūkalu pulveri', 'rauga ekstraktu', 'burkāni', 'pastinaki', 'skābuma regulētājs', 'pienskābe', 'biezinātājs', 'ksantāna sveķi', 'aromatizētāji', 'konservants', 'kālija sorbāts', 'antioksidants', 'e385'];[': ūdens, rapšu eļļa, vājpiena pulveris, spirta etiķis, cukurs, mo-\ndificēta ciete, olu dzeltenums, jodets sāls, dārza garšaugi 0,4% {maurloki,\nsīpoli, paprika. pētersīji,, garšvielas {satur piena sukalu pulveri, rauga eks»\ntraktu}, burkāni, pastinaki, skābuma regulētājs {pienskābe}, biezinātājs ra\ntāna sveķi}. aromatizētāj. konservants {kālija sorbāts}, antioksidants {e389}.\nprodukta vidējā uzturvērtība 100 g: | letecams īdz iepakojuma -\nenerģētiskā vērtība € skatīt aizīmi uz iepakoju!k\nlauk saki 5zs 14 } čž" tt: uzglabāt temperatūrā\ntostarp piesātinātās taukskābes ......260 0.1250 -\ndrīnta  879 | pēc atvēršanas\ntostam cukum een 480 | uzglabāt eduss*ap\ndībalbumietas 190\nsāls ejā . 109 neto: 3/99 a\n— ......_ņmņb\n— ražotājs: sia „orkla foods latvija”. zvaigžņu iela | > ee»\norklļa spe. bahāes pag. babītes nov.. lv-2101. latvija.\nbezmaksas tākunss atsauksmēm {+371} 8000400.\n\n'];3;4;['vājpiena pulveris', 'olu dzeltenums', 'satur piena sūkalu pulveri'];['vājpiena pulveris', 'olu dzeltenums', 'piena', 'sukalu pulveri'];3;0;1;['vājpiena pulveris', 'olu dzeltenums', 'piena'];[];['sukalu pulveri']
n57;23;23;113;['ūdens', 'rapšu eļļa', 'cukurs', 'ananāsu sulas koncentrāts', 'baltvīna etiķis', 'olu dzeltenuma masa', 'mango pārslas', 'mango biezenis', 'sinepes', 'modificēta ciete', 'spirta etiķis', 'sāls', 'karija pulveris', 'biezinātājs', 'ksantāna sveķi', 'garšvielas', 'konservants', 'kālija sorbāts', 'paprikas aromatizētājs', 'krāsviela', 'beta karotīns', 'antioksidants', 'e385'];[': ūdens, rapšu eļļa, cukurs, ananāsu sulas koncentrāts, ļ\nbaltvīna etiķis, olu dzeltenuma masa, mango pārslas 2%, mango\nbiezenis 1,5%. sinepes, modificēta ciete, spirta ētiķis , sāls, karija pulvēris\n0,9%. biezinātājs {ksantāna sveķi}, garšvielas, konservants {kālija simba :\npaprikas aromatizētējs, krāsviela {beta karotīns}, antioksidants {e389}.\ni aaa m a\nprodukta vidējā uzturvērtība 100 g: et aam aziepaajuma\nenerģētiskā vērtība .......... 1230 kj/ 300 kcal uzglabāt temperatūrā\n{auka s. reasa poet ana znk ae nnez ste eto e rt tt as 2īg | 6 +250.\nom piesātinātās taukskābes ......200 | pacatvēršanas =.\nogļhidrāti ....... en 19 0 uzglabāt ledusskapi.\nlao kut asmeni ta %5 0\nolbaltumvielas ....... eee nn u,\n888 ...kakaeeotoneno iegamsenerēnienie ae bpo neto: |\nam "tamimni iela 1,\nzotājs: s latvija”, zvaigžņu <\n» , , ražotājs: sia „orkla foods latvija p917 latvija\n\n'];1;3;['olu dzeltenuma masa'];['olu', 'karotīns', 'dzeltenuma'];1;0;2;['olu'];[];['karotīns', 'dzeltenuma']
n58;27;27;272;['ūdens', 'rapšu eļļa', 'siera pulveris', 'siers', 'emulģējošā sāls e331', 'sāls', 'es', 'biezinātājs', 'modificēta kukurūzas ciete', 'fruktoze', 'sāls', 'stabilizētāju maisījums', 'piena olbaltumvielas', 'biezinātājs e1422', 'paniņu pulveris', 'stabilizētāji', 'e415', 'e435 e412', 'sūkalu pulveris', 'olu dzeltenuma pulveris', 'sāls', 'glikozes sīrups', 'sinepju ekstrakts', 'skābuma regulētājs', 'etiķskābe', 'garšvielas', 'ķiploku eļļa'];['nau mu\nn rrn i\nr rmi nu m {| |\nn sa ni s kr s iz m tt u\na n n "a\ns lņ štu yčwģ—>čw>-xxxx%wx% n "ma\nsli o ls s ” n d r āū\nb0 s s slķ a sa sas a e o7e ts or pebei}\nn si ī mr ss ss ss o } kaa bik pt tun\ns" "pūt, lks r m vigāg ij\nu t s s fs rrfs | krbti} i\ne———— ——-__ i en : . ā ji\nf dens, rapšu ēļia, siera pulveris 3% ā\nm : : tr, a ļ $ = d om baj ģ\nms, emulģējošā sāls e331, sāls} {es}, biezinātājs {modificēta\nli u uu 4 } — 5 ana zs i ,. kr\nļ : ss res j ntie jāai\n| kukurūzas ciete}, fruktoze, sals, stabilizētāju wanie\nte m aa ma are da ais lveris, 5d!\n15, e435 e8172, sūkalu pulveris, olu dzeltenuma pu īī āā\nire r ta a rate su saiti {a cis ra, ļē js {etiķskābe},\nj nozessirups}, sinepju ekstrakts, skābuma iegu ra ž latvij\nmy a | ž _ | " 7 v, | k | - | | p 4\ngaršvielas, ķiploku eļla-0,03%. ķiploku 09 izceo rodukta\nnerģētiskā. vērtība: 1367 kļ } 327 kcal: 100 9 p\nutgetiska vērtība: 1367 |} kai. atās taukskābes}\nhi. 4 \' < / 4 |\n"a unvērtība: 334 g tauki. {tostarp 3,29 ara trmvieks, 180 m a\nramus }.1.7 golbaltumvielas 10\n"909 nidrāti {tostarp 2,3 g cukuri} 1,790 iemakojuma: vē\n5dls. ieteicamās līdz: un partijas numuru: skatīt uziep\nātuares . , ā dusska va ee mit, .\nms ieteicāms uzglabāt ledusskapī. āā\nee a aa ila amat\nss s a r35 m ae a ep ae 1 pa a am ea a "era:\n——— aaa tat eed\nla a s aa aaa ieas aaa\n\n'];6;5;['siera pulveris', 'siers', 'piena olbaltumvielas', 'paniņu pulveris', 'sūkalu pulveris', 'olu dzeltenuma pulveris'];['sūkalu pulveris', 'siera', 'olu', 'olu dzeltenuma pu', 'e331'];3;3;2;['sūkalu pulveris', 'siera', 'olu'];['siers', 'piena olbaltumvielas', 'paniņu pulveris'];['olu dzeltenuma pu', 'e331']
n59;19;19;801;['ūdens', 'ābolu biezenis', 'cukurs', 'glikoze', 'biezinātāji', 'ksantāna sveķi', 'modificēta ciete', 'garšvielas', 'sausais vistas buljons', 'satur selerijas', 'skābuma regulētāji', 'etiķskābe', 'citronskābe', 'sāls', 'karamelizēts cukura sīrups', 'konservanti', 'kālija sorbāts', 'nātrija benzoāts', 'aromatizētājs'];['"00 kale n\nms 1 bis čā |. 7 na\ns i aiens ins a s\nur ma „mm navu "atas: "ogftu 20\nra 1. c j: mae a i noru nat ju -\n= m3 w m bna giria  s id 28 tm jetfm | f z\neee an m ma m es a a 3 rta ij sdais=\nm 4 ma m "m bp vieta men 1gfdafi, krās\nk "5 b0 ” tus yb 1 a vona . m ē} gar "ds ba vai } āl : }\nm bau bm. —l oss, srvki d\nmi :" m: 4 : 0d a tiema  ē\nč a : : m ļ iv *i ē : w de zen % vu 1gmns e8528 wuifigi m h\n58 r sār me s us m ha em |\n+ — ra k bb, asi bs a: pis a "tu a li j\nm ž vē r id , mai ju \' x a > sa a oģeme āja cu talk uu pidi ā\nž 3 4 m” kē4 s ma kc . see vienā a ņ 04 f ju} 44 u 0 91\n| 4 kb ekl a a .. : < m gs al e> 2. {4 : ča 7 ž 42 ž |\n| i m names me zemee drente + r "ota, j ā\n| ķi 61 sēr s "m ž d c ž\ni ē pe r rr r s gam, sm \' č\nma s k de basu = |\nata am be j jj |\n| ms i 1 am kam vē va a | a ļ\nm be ie sb =\njs mn iem bu 3\nšī š |1 a 15% n 1 eu :\nau vi srbta. b0\n4 aa ikaze hiezinātāj ikaneta sek, :\n£ + s 06074012408 "uti mass d\nhienenic cukurs tkoze, ar x 08 ahaa renttētāi\nros dau biezenis, cukurs, ietvara | ienias} spa eatētā\ni dasaudaas ūdens, šāotu 01 a aiziaetinai jons {satur seerijas}, mika\n| sastājas a saite ais vasas ma „i dan canuom naulea su a\n, {wave mo. x” va m nais si aa s va m tan dar ģ mne wicii 1 ļ ji v :\nmedificēta ae} garsaeas, sausai! vuzēts ceķkura sīruas, konserv ,\nmeg ags "ās : zs vē mees las ša pa a - med} \'\npd cina kābaā ais maria bas j\nietikskēme, cionskame}, ēka ucauranasaētu.\nnat ra 17 ats} soma uzēi gs. zedvet meju ikcakid: uou „tā\n| tx aug {8 530740} 9} vezijs md =: ģ: vi 2n g ha 38, sed cim tējim ļ : aamtcenbāēje }\na , mas ceat sa es tā neu m\n} e2003, a0aguuga mope, uekai va kvmdm hs bē ucegep vo oma\ni {o0res. e2018. s0noua }ocneuu, c7x0ī kd mes 00250} jaa uzaug ad\n, ed pella am aka ve, u em maka kuut amu\nmemūvumpo8ehhe mainas}, u akan kcnota, jmmohkā geuggai mīļu i\n4 buj wa « eos en " 1} chā , km zeltā v j pvtaitam 4 rs : ua \'} eu! ļ\nš neturatom kmc jotrocau {g ihcepbahtb {000027 kana, ā\nās netu da 8 bi de € zērzēt ta giama gg hējts ea dtūļķbi pa\nmo ja it bb mm can tu mb vie uu, un ž - bb. gan\n= am da pil ašahuk :y edited\nhoi ga u am tbbīfp a\nai ra, gu , tiīt il ey il: parse kan gum mos f 1ū 9\na ā šie le lepuree, sugar, glūcose, iniekeners {kaniha: mid citrio a0\nr iemoatar anna pmurbb, su6 a, asku are a bi levi 4\n, 4 manu {01010118 vu na } e%i sakni ar f. mu\ni 6gb 18 1030 cļ = a bē āra : p4} a 9 pi 4 8 um k: eilery} atleliy teeulators t ci cetic " pē 20 atm} jg ā\nā — hickenbroth 10m cele a a ui m hum benzpa tu},\n21 / giucķo i ea t duo acu 4 ar mad oļi {01 plīti paz ivacija 4\n4 91085} uz ča ar su ib resemnativnes {peta sat soūrbate, {0 ld 5\ntr 7 gi su {1 94 kd = ž 4 af 4 ” "i\nmata 21} 1701 iki 2 šiti 4 gi j\nu ij } ar " } llu ts llu : tt žiļi\nlumi uummmo tu vuj jj cida\n, mr rvērtība / cpenhaa nm baa u hh "th 4. 04/ |”\nmika nm 10 /cp itt, mmo da ģ bali hij ti šad j llu\n/ mega veidā gl "iela iliwmu 4 hi, {| llu kt, lla\nlu laa 44%45 gk akm abi 140.01 94 kl atļllh66ll ii lt lt llu s ļ | ļ\nmdējā uztūrverti erage nutritiona ge {| ss uz\nmm "mlm ll vpn pēta m rss llu 4 2 jas tā a.\n7, li{ņwmionnm, aaveru subras eu cu sign ž\n-wm{m{m!” mmnmmmmm as $ j pnfetnupckaa uehhobct vnergv 1} ce} 91 mī " : val}\n1 1atiskā veļ 1 / a zmu -ami!mwmūw1 > uummllltttityenus llu 9 0 itt bb , :\n| mengēliska vēdu all um cmmmm, lil hiiļļ t ž j 65908 su\n/ nm im{hlli fat {0 n hh mln «\nj 0 vt lv aaealā la 5 ahumlulmum, ”\ni k/ mu ma 10t, au 1d = nas, pna\n1/4 2 lav ve {4 a t\nmua % 10\n\n'];1;6;['sausais vistas buljons'];['a tu', 'ga u', 'aiens', 'atas', 'vieta', 'mata'];1;0;5;['vieta'];[];['a tu', 'ga u', 'aiens', 'atas', 'mata']
n60;11;11;60;['rapšu eļļa', 'ūdens', 'olu dzeltenums', 'cukurs', 'spirta etiķis', 'sinepes', 'sāls', 'krāsviela', 'beta karotīns', 'antioksidants', 'e385'];[': rapšu eļļa, ūdens, olu\ndzeltenums, cukurs, spirta etiķis,\nsinepes, sāls, krāsviela {beta karotīns},\nantioksidants {e385}.\n0/ ” -e\nuzturvērtība 100g 1 porēja idd* a a |} ā\nenerģētiskā | 2940/ ķiu «\nvērtība lu/kcal 110 { ve ā\nlauki, g 77 | m w i — i\npiesāti 58 |09|}\niesatinātās f 4\ntaukskābes, g\nogļhidrāti, g la jērāi —\n"tostarp cukuri,g| 34 | 05\n14 | vid om a\n\n'];1;2;['olu dzeltenums'];['olu dzeltenums', 'karotīns'];1;0;1;['olu dzeltenums'];[];['karotīns']
n61;12;12;172;['pilngraudu auzu pārslas', 'oligofruktoze', 'cukurs', 'pilngraudu kviešu pārslas', 'saulespuķu eļļa', 'rīsu ekstrudāts', 'rīsu milti', 'sasaldējot kaltēti zemeņu gabaliņi', 'medus', 'sāls', 'dabīgs aromatizētājs', 'antioksidants e306'];[': pilngraudu auzu pārslas 52%, oligofruktoze, cukurs, pilngraudu iņ\ntt" kviešu pārslas 9%, saulespuķu eļļa, rīsu ekstrudāts 6% {rīsu milti}, sasaldējot kaltēti zemeņu gabaliņi 3%, medus,\n\'| sāls, dabīgs aromatizētājs, antioksidants e306. var.\na” "| ieteicams līdz: skatīt uz iepakojuma. uzglabāt vēsā un sausā vietā. baudiet kopā ar pienu, jogurtu vai kefīru. ražots\n"polijā pēc īpaša rimi pasūtījuma. pilgraudu auzu pārslu un kaltēto zemeņu izcelsme: es un ārpus es. izplatītājs latvijā: d 2\nsia rimi latvia, a. deglavaiēla 161, rīgā, lv-1021. bezmaksas tālrunis atsauksmēm latvijā: 80000 180.\ntraškūs dribsniai su braškēmis. sudedamosios dalys: visu grūdo daliy avižu dribsniai 52%, oligofruktozē,\ncukrus, visy grūdo daliy kviečiu dribsniai 9%, saulēgražu aliejus, ryžiu isspaudos 6% {ryžiy miltai}, liofilizuotu\nbraškiy gabalēliai 3%, medus, druska, natūrali kvapioji medžiaga, antioksidantas e306. gali būti žemēs riešutu,\nriešutu, pieno, soju ir sezamo seklu pēdsaku. geriausias iki: žr. ant pakuotēs. laikyti vēsioje ir aaa anu\nm mēgaukites su pienu, jogurtu ar kefyru. pagaminta lenkijoje paga! speciālu rimi užsakyma. visu ro , ar\ndribsniu irliofilizuotu braškiu kilmē: es ir ne es. platintojas lietuvoje: uab „rimi lietuva”, spaudos 9. 6-1, | m\nvilnius, lietuva. nemokamas klientu aptarnavimo centro tel. 8 800 e23000. es\nt ma”\n\n'];1;6;['medus'];['medus', 'medus', 'pienu', 'kefīru', 'visu', 'jogurtu'];1;0;5;['medus'];[];['medus', 'pienu', 'kefīru', 'visu', 'jogurtu']
n62;42;42;254;['dehidratēti kartupeļi', 'augu eļļas', 'saulespuķu', 'palmu', 'kukurūzas', 'mainīgās proporcijās', 'kviešu milti', 'kukurūzas milti', 'rīsu milti', 'grila garšvielu maisījums', 'cukurs', 'laktoze', 'piens', 'sāls', 'sīpolu pulveris', 'aromāta un garšas pastiprinātāji', 'mononātrija glutamāts', "dinātrija 5'", 'ribonukleotīdi', 'tomātu pulveris', 'paprikas pulveris', 'rauga ekstrakts', 'aromatizētāji', 'kūpināšanas aromatizētāji', 'ceratoniju pulveris', 'skābuma regulētājs', 'nātrija diacetāts', 'skābes', 'ābolskābe', 'citronskābe', 'ķiploku pulveris', 'saulespuķu eļļa', 'kukurūzas ciete', 'krāsviela', 'paprikas ekstrakts', 'maltodekstrīns', 'maltodekstrīns', 'emulgators', 'e471', 'sāls', 'krāsviela', 'annato norbiksīns'];['— „im pikantās a a \'\natim mes 3 b\nā : arbekjū vē\nk v ģ milti, . 4 kari vir ao\nku 0% {piens la garšviel proporejā vaļus\nd pastiprinā } dis , lu maisiju šņ kviešu mili,\n} 5 prinātāj sīpolu pulveri {cukurs, likt\n. mw ? ž add acs āji {mononā pulveris, aromāta u1 ,\n_ } kg skābu a zrieētu kk! ātrija glutamāts te |}\n"m tpaprikas ā : ma i. kū pulveris, papri „ dinām\n- krāsviela , ķiploku regulētājs: ūpināša prikas pulveris, 1\nm ekstrakts}. maltoga ulētājs {nātri imas aromatizētā} m\na" čiā ea iem ļ diam ja diacetā izētāji, ceralonļ/\n„ gan deja mtuganans ī saulespuķu eļļ fāts}, skābes ābolskā\nj ņ att ga laimu vai io maltodekst ļļa, kukurūzas ces āsmēk\n\' u. kiiņa + palmi ērā. soju, letei rīns, emulgalo” gi si\nrap ntrig linatrios.ri lu, kukurā uzalabā teicams līdz, gators {e71 sāls\n” n mt iem šībonu kurūzu} jvai zglabāt vēsā, sausā - skatīt iepako} gali\nn v earn hrū ukleotidai |vairiomi ēsā, sausā vielā "m\n- n "ar }  tūgštys aij, pomid is dalimis, kvieči ģ br\na i nteņu m me $ {obuoliy rū dory milt 18 100 miltai, kukurāz mita 18\nmā w k/ hevup gali būti u rūgšti , elial, paprik vw ļ m\nn "dd latpt sao ta is, citriny rūgšt iy mitelāi mi viglalās\ntb," kam 08 ka kīoša hh ka ausias iki: ž is}, česnakļ miltelidi saule |\nones ipax, {mnak progu i: zi, pakuotē ž, ,\nm” itin con, m pactmtejihm mac s apačioje 88} gapak\nhola ņa ka npax ja {cmoorme40 n |\nnuulaatta dv, omon {nonond p7 fr |\nmueg gnaierā} ta pa\nem nou"\n=\n\n'];2;3;['laktoze', 'piens'];['piens', 'ma i', 'deja'];1;1;2;['piens'];['laktoze'];['ma i', 'deja']
n63;29;29;361;['kartupeļu pulveris', 'saulespuķu eļļa', 'kviešu milti', 'kukurūzas milti', 'rīsu milti', 'sīpolloku garšvielas', 'sīpolu pulveris', 'dekstroze', 'garšas pastiprinātājs', 'mononātrija glutamāts', 'dinātrija guanilāts', 'dinātrija inozināts', 'kartupeļu ciete', 'cukurs', 'aromatizētājs', 'puravu pulveris', 'sīpolloku pulveris', 'glikozes sīrups', 'piena obaltumvielas', 'skābes', 'citronskābe', 'pienskābe', 'skābuma regulētājs', 'kalcija laktāts', 'maltodekstrīns', 'emulgators e471', 'sāls', 'krāsviela', 'anato'];[' vgā uzkod raudondvanas apsaugina ki žr 1\nan bo mit, si artupeļu pul a pringl= op 131. agņ j _—\nšīpanaa lmonorātija gut u garšvielas {5 saulesnukvar šīpolio "aa\nen pi urs, arom amāts, di sīpol uķu eļļa, kvi ciņu ,\nļ atzaram" oinātrij uu lēja, kv gar j\nviņu big riba olbaltu tizētājs pu "nātrija mārka a ekeitā milti, kuk šu, 165 g. irn\naleja | mviela tavu : ilēts, dinātri roze urūzas mi k\n| u aktāts s. skā pulveris m inātrij , ģ garšas . milti ul ā\nmi zturvē }}, ma bes {ci is, sīpol a inozi pastiprinā\nd} pestinaas 100 g kotskstīīna ae ane mu duvetīta na kartupeļu m n\n, 5, e opi $, gliko m\nč g mtāe us ka tes 2 89 a ors tie  abemj sīrups\nglabā mviel 8 a 219 , e2815, krāsvi regulētājs: 008\nt m lie t saus 88681 g. 0gļhid , 5 kj/ 52 rāsviela: an j\nik vebu aleja 4 avieta jerē 2818 1 rāti 58 6 kealtaudšbam ļap\n, 14 r le 9 } g. tost ui 30 |\n. vadi krēb mekavas "getmosf z: sk. uz iepak ķlecrvielas {pak\nā = maitsgas 0d krā pagasls, k ii izplatītājs: skaļuma |\naa } "bi "opsud p ķekavas nūvads lvb if\n"vilku se sibija ali f:s virtsi i --*\njj m a dsētu ua ma rp ulber sika kavadisasi vid\nku sai vēja latse ae sibulapa vadise sibula = 108\nā a ienisui ,\ndu nt ona umgutam, nisujahu, mais "\nv pēs er, al kartu lia a o ēr, dek ijahu, rilsijahu } o\nlu viny use gluk rtulitg utam, stroos, 6h janu, pass\nala tegu 00sisi rklis, 5 nat, dinaatrium na- ja |\nki as lesmnetto to kalteb: dima a at lēhna ja matsēatei grnob\nli n} , si a " m i ,\n|} nm "caļ term maka}, hape aidrunnanē jel porupube! "j\ntata 56 g mu vad 30 ane teave malto dekstrii ape, piimhapa} „a\n%, ls a08 m enn a lest 9. mill 100 g kohta: n, emulgaator e47! 00| m0\nm "rae poha j vaata novrud 27 tk jllastunud 1 energias saldus 6\nmia 1 , 179. ra j\nba 911, navēlmistatua ele 4: kivasined 318 gv ped 268. nous\n0 9udeē js a ida kuivas on valgud 8.19. 509 na\nalija om! i pakendatud } ,\na”\n\n'];1;3;['piena obaltumvielas'];['uķu eļļa', 'skā pulveris', 'o lu'];0;1;3;[];['piena obaltumvielas'];['uķu eļļa', 'skā pulveris', 'o lu']
n64;15;15;161;['ūdens', 'tomātu pasta', 'liellopa gaļa', 'cūkgaļa', 'sasmalcināti tomāti', 'olīveļļa', 'tomātu sula', 'selerija', 'burkāni', 'sīpoli', 'kukurūzas ciete', 'sāls', 'cukurs', 'aromatizētājs', 'skābuma regulētājs e270'];[': ūdens tomātu pasta 13,0% lieltopa gala 11,7% cukgala |0\n|18 sasmalcināti tomāti 83%, olveļa, tomātu sula, selerija, |\nburkāni, n kukuruzas ciete, sals cukurs, aromatizētājs skābuma |\nregulētājs e220. 100 : produkta uzturvērtība: rs vērība ||\njoms 4 100 kcal tauki 36 g tostarp piesātinātās taukskābes 13 g / lt\na gb g tostarp cukum 33 g, škiedrvielas 06 g olbaltumvielas {| „"„————\n|3515 1} ieteicams līdz: skatīt uz iepakojuma. pēc iepakojuma |\n| atvēršanas izlietot 3 dienu laikā. ražots u pēc īpaša aim ||\n: pasūtijuma. upei i sia rimi latvia * mms 161, |\n| kīga 1, ezmaksas talrunis atsauksmēm latvijā vai |\nbolognese makaronu padažas. padažas su 25% maitas |\n: — sudedamosios dalys, vendu pomīconi pasta 130% |\nej\ndeju, pomidaru suis, salierai mono» svoguna, sputtu f\nkrlrols, daska, crus drei mēreo mastnoumas | ,\nregular meczaga ē2/0 100 g produkts mastvgumēs |\n| ermergine vertē 418 kd} 100 kcal rebaļā 56 g 5 ur soci a\ngt 130 angliavandeniai 66 415 kuru cukru 35 g skalduine\nmēdīlagos {6 g balņmai 55 g duska 15 g garauss kā art ,\na a am einrartnti net 3 dienas panaminta naijoje |\n\n'];2;3;['liellopa gaļa', 'cūkgaļa'];['lieltopa gala', 'e220', 'maitas'];0;2;3;[];['liellopa gaļa', 'cūkgaļa'];['lieltopa gala', 'e220', 'maitas']
n65;12;12;185;['piens', 'krējums', 'siera pulveris', 'no cietā siera', 'zilā siera', 'čedaras', 'mocarella', 'modificēta kukurūzas ciete', 'sāls', 'ķiploku pulveris', 'melnie pipari', 'kurkuma'];[': ,\npiens, krējums, siera pulveris 6,5% {no cietā siera, zilā siera, čedaras =\nā mocarella}, modificēta kukurūzas ciete, sāls, ķiploku pulveris, melnie pipari, :\n: kurkuma. 1009 produkta uzturvērtība: enerģētiskā vērtība 600kj/ ņ:3\nba 8 140kcal, tauki 11g, tostarp piesātinātās taukskābes 8,2g, ogļhidrāti 5g, 3\nmt tostarp cukuri 4 1g, olbaltumvielas 5,29, sāls 1,3g. uzglabāt istabas er\nm temperatūrā. atvērtu uzglabāt temperatūrā līdz +8 "c. ieteicams līdz: skatīt 3 "=\n| uziepakojuma. ražots itālijā. izplatītājs latvijā: sa rimi latvia, a. deglava , + - 4%\niela 161, rīga, lv-1021. bezmaksas tālrunis atsauksmēm latvijā: 80000 : m a\nt 180.lt:ica baltuju izira ini lredageis 400g sudedamosios es m -\nrs dalys: pienas, grietinele, sūrio milteliai 6,5% {iš kietojo sūno 3 54% a —\n> mehmojo sūrio, čederio, mozzarella}, modifikuotas kukurūzu krakmolas, a s 5 —\nbs druska. česnako milteliai, juodieji pipirai, ciberžolē. 100g produkto :\nmaistingumas: energinēe vertē 600kj/ 140kcal, niebalai 11g, iš kuri\ns sočuju riebalu rūgščiu 8,24, angliavandeniai 5g, iš kuriu cukru 4,1g, baltymai + "a\ns 52 druska 1,3g. laikyti nomalioje kambaris temperatūroje. po atidarymo |\nlaikyt ne aukštesnēje nei +8 *c temperatūroje. gerlausias iki: žr ant vu\nb pakuotēs. pagaminta italijoje. platintojas lietuvoje ča a om lietuva",\n| spaudos g. 6-1, lt-05132, vilnius, lietuva. nemokamas klientu aptarnavimo >\ncentro tel. e2800 e23000 a, m\n\n'];7;8;['piens', 'krējums', 'siera pulveris', 'no cietā siera', 'zilā siera', 'Čedaras', 'mocarella'];['zilā siera', 'piens', 'siera', 'mocarella', 'čedaras ā', 'krējums', 'pienas', 'mozzarella'];5;2;3;['zilā siera', 'piens', 'siera', 'mocarella', 'krējums'];['no cietā siera', 'Čedaras'];['čedaras ā', 'pienas', 'mozzarella']
n66;21;21;169;['ūdens', 'rapšu eļļa', 'sinepju pulveris', 'skābuma regulētāji', 'etiķskābe', 'citronskābe', 'askorbīnskābe', 'ābolskābe', 'sāls', 'olu dzeltenuma pulveris', 'piena pulveris', 'biezinātāji', 'ksantāna sveķi', 'guāra sveķi', 'krāsviela', 'luteīns', 'saldinātājs', 'saharīns', 'konservants', 'nātrija benzoāts', 'aromatizētājs'];['g —\n. mk m jā —\nde ām ke o\n"oi a pam mm m, ri an i\nto aa et i miemal\na a zaud dota da mm s add :\nnakti as 707 ai tam at damn tk v\nm k , z a ad āa ā "eu } ki ka ar au\ntanu ielu mvdajos aders tepāēja sinepiu julvere t6 slāluma”,\nregulētāji - {etikskābe, - citronskābe, askorbīnskābe, ātolskābe}, "sāls, \'0lu\ndzeltenuma pulveris, piena un minim {ksantāna sveki, guāra sveķi},\nkrāsviela {luteīns}, saldinā j iamu mnservamis, inēlnj benzpāts}, ”\naromatizētājs, sinepju pulvera izcelsme - es un ārpus es. vidējā uzturvērtība 100g\nprodukta, enerģētiskā vērtība 162 kj/394 kcal tauki 42 g, door piesātinātās\ntaukskābes 3,0 g, ra 1} ģ tostarp cukuri 0,5 .g olbaltumvielas 25 ļ sāls 20 n\nuzglabāt temperatūrā +2, +20” c, pēc atvēršanas uznlabāt ledusskapi +2, +8}" c.\nteteicams līdz, skatīt atzīmi uz iepakojuma. ražotājs: sia „orkla foods latvija , :\n> * lvaigžņu iela 1, spilve, babītes pag. mārupes nov, lv 2101, latvija bezmaksas\nļ onno{ li {\nae ” —\nc - }\n» m\nad — -\nv m a\n\n'];2;2;['olu dzeltenuma pulveris', 'piena pulveris'];['piena', '0lu dzeltenuma'];1;1;1;['piena'];['olu dzeltenuma pulveris'];['0lu dzeltenuma']
