ID;original Lev;original Jac;original Ove; B&W Lev;B&W Jac;B&W Ove;GS Lev;GS Jac;GS Ove;GS noise remove Lev;GS noise remove Jac;GS noise remove Ove;BG remove Lev;BG remove Jac;BG remove Ove;BG remove + BW Lev;BG remove + BW Jac;BG remove + BW Ove;BG remove + GS Lev;BG remove + GS Jac;BG remove + GS Ove;Noise remove Lev;Noise remove Jac;Noise remove Ove
n36;756;0.004830917874396135;0.02702702702702703;1271;0.06477732793522267;0.43243243243243246;1451;0.04501607717041801;0.3783783783783784;828;0.04591836734693878;0.24324324324324326;1027;0.00390625;0.02702702702702703;708;0.0053475935828877;0.02702702702702703;1209;0.027237354085603113;0.1891891891891892;821;0.00546448087431694;0.02702702702702703
n37;815;0.04032258064516129;0.7142857142857143;891;0.02097902097902098;0.42857142857142855;840;0.04;0.7142857142857143;830;0.05;0.8571428571428571;857;0.015267175572519083;0.2857142857142857;472;0.0;0.0;868;0.015267175572519083;0.2857142857142857;789;0.05128205128205128;0.8571428571428571
n38;776;0.024193548387096774;0.42857142857142855;843;0.045112781954887216;0.8571428571428571;808;0.046153846153846156;0.8571428571428571;781;0.05172413793103448;0.8571428571428571;841;0.037037037037037035;0.7142857142857143;860;0.04225352112676056;0.8571428571428571;834;0.03007518796992481;0.5714285714285714;780;0.04065040650406504;0.7142857142857143
n39;1127;0.057692307692307696;0.7058823529411765;1147;0.07246376811594203;0.8823529411764706;1220;0.06976744186046512;0.8823529411764706;1182;0.06403940886699508;0.7647058823529411;1107;0.07253886010362694;0.8235294117647058;1144;0.049019607843137254;0.5882352941176471;1110;0.07216494845360824;0.8235294117647058;1090;0.05555555555555555;0.6470588235294118
n40;848;0.0;0.0;863;0.0;0.0;855;0.0;0.0;760;0.0;0.0;797;0.0;0.0;815;0.0;0.0;796;0.0;0.0;810;0.0;0.0
n41;1705;0.030360531309297913;0.34782608695652173;3395;0.0;0.0;1076;0.03293413173652695;0.2391304347826087;392;0.22131147540983606;0.5869565217391305;545;0.22794117647058823;0.6739130434782609;472;0.25384615384615383;0.717391304347826;412;0.21428571428571427;0.5869565217391305;370;0.06382978723404255;0.1956521739130435
n42;538;0.2692307692307692;0.6774193548387096;541;0.27631578947368424;0.6774193548387096;535;0.2611464968152866;0.6612903225806451;534;0.2631578947368421;0.6451612903225806;546;0.28289473684210525;0.6935483870967742;547;0.2727272727272727;0.6774193548387096;541;0.2866666666666667;0.6935483870967742;554;0.267515923566879;0.6774193548387096
n43;2295;0.0;0.0;3619;0.0;0.0;502;0.16666666666666666;0.5813953488372093;448;0.18803418803418803;0.5116279069767442;543;0.15476190476190477;0.6046511627906976;423;0.226890756302521;0.627906976744186;444;0.21487603305785125;0.6046511627906976;353;0.0;0.0
n44;865;0.125;0.7428571428571429;803;0.08415841584158416;0.4857142857142857;866;0.140625;0.7714285714285715;795;0.12994350282485875;0.6571428571428571;783;0.12359550561797752;0.6285714285714286;865;0.033816425120772944;0.2;845;0.11386138613861387;0.6571428571428571;847;0.14136125654450263;0.7714285714285715
n45;757;0.16939890710382513;0.7560975609756098;732;0.12299465240641712;0.5609756097560976;717;0.17679558011049723;0.7804878048780488;699;0.1951219512195122;0.7804878048780488;780;0.13846153846153847;0.6585365853658537;608;0.07567567567567568;0.34146341463414637;727;0.16477272727272727;0.7073170731707317;707;0.18072289156626506;0.7317073170731707
n46;1514;0.09561752988047809;0.8888888888888888;1523;0.0703125;0.6666666666666666;1546;0.0963855421686747;0.8888888888888888;1400;0.11059907834101383;0.8888888888888888;1617;0.045112781954887216;0.4444444444444444;1504;0.04838709677419355;0.4444444444444444;1570;0.046511627906976744;0.4444444444444444;1403;0.11386138613861387;0.8518518518518519
n47;644;0.18045112781954886;0.96;742;0.09467455621301775;0.64;742;0.1464968152866242;0.92;621;0.19008264462809918;0.92;722;0.02843601895734597;0.24;750;0.013452914798206279;0.12;769;0.02666666666666667;0.24;666;0.1875;0.96
n48;850;0.24479166666666666;0.7704918032786885;920;0.22330097087378642;0.7540983606557377;901;0.22488038277511962;0.7704918032786885;746;0.2874251497005988;0.7868852459016393;557;0.0;0.0;1563;0.007326007326007326;0.06557377049180328;1738;0.029296875;0.2459016393442623;741;0.2891566265060241;0.7868852459016393
n49;795;0.033707865168539325;0.24;829;0.06547619047619048;0.44;753;0.09740259740259741;0.6;796;0.09554140127388536;0.6;728;0.033707865168539325;0.24;646;0.038461538461538464;0.24;730;0.03428571428571429;0.24;793;0.09740259740259741;0.6
n50;576;0.15873015873015872;0.8;403;0.21978021978021978;0.8;538;0.1826086956521739;0.84;527;0.18181818181818182;0.8;383;0.08163265306122448;0.32;450;0.07758620689655173;0.36;366;0.08333333333333333;0.32;469;0.1592920353982301;0.72
n51;535;0.18269230769230768;0.76;576;0.1694915254237288;0.8;520;0.18181818181818182;0.8;568;0.15833333333333333;0.76;505;0.20192307692307693;0.84;487;0.2079207920792079;0.84;506;0.2;0.84;557;0.18421052631578946;0.84
n52;803;0.12571428571428572;0.9166666666666666;724;0.13924050632911392;0.9166666666666666;575;0.17557251908396945;0.9583333333333334;697;0.14285714285714285;0.9166666666666666;687;0.16058394160583941;0.9166666666666666;658;0.15827338129496402;0.9166666666666666;678;0.15714285714285714;0.9166666666666666;646;0.16083916083916083;0.9583333333333334
n53;684;0.2108843537414966;0.7948717948717948;727;0.18292682926829268;0.7692307692307693;726;0.18902439024390244;0.7948717948717948;700;0.19863013698630136;0.7435897435897436;659;0.19607843137254902;0.7692307692307693;691;0.20261437908496732;0.7948717948717948;664;0.19480519480519481;0.7692307692307693;647;0.2152777777777778;0.7948717948717948
n54;764;0.17297297297297298;0.7619047619047619;769;0.18497109826589594;0.7619047619047619;762;0.19540229885057472;0.8095238095238095;642;0.22972972972972974;0.8095238095238095;787;0.1853932584269663;0.7857142857142857;727;0.18497109826589594;0.7619047619047619;778;0.1797752808988764;0.7619047619047619;674;0.21518987341772153;0.8095238095238095
n55;829;0.11904761904761904;0.6451612903225806;666;0.1610738255033557;0.7741935483870968;893;0.11235955056179775;0.6451612903225806;791;0.13125;0.6774193548387096;781;0.12658227848101267;0.6451612903225806;734;0.13157894736842105;0.6451612903225806;780;0.12738853503184713;0.6451612903225806;753;0.14285714285714285;0.7096774193548387
n56;874;0.165;0.7857142857142857;656;0.09340659340659341;0.40476190476190477;711;0.2236024844720497;0.8571428571428571;734;0.2222222222222222;0.8095238095238095;571;0.1643835616438356;0.5714285714285714;519;0.15384615384615385;0.5238095238095238;565;0.1736111111111111;0.5952380952380952;639;0.23129251700680273;0.8095238095238095
n57;615;0.2229299363057325;0.8536585365853658;630;0.22535211267605634;0.7804878048780488;645;0.2727272727272727;0.8780487804878049;708;0.23333333333333334;0.8536585365853658;526;0.2764227642276423;0.8292682926829268;515;0.28695652173913044;0.8048780487804879;539;0.2764227642276423;0.8292682926829268;646;0.25;0.8536585365853658
n58;2844;0.011015911872705019;0.19148936170212766;1042;0.06907894736842106;0.44680851063829785;2839;0.014457831325301205;0.2553191489361702;1061;0.06862745098039216;0.44680851063829785;895;0.005714285714285714;0.0425531914893617;1568;0.0037243947858473;0.0425531914893617;1005;0.008403361344537815;0.06382978723404255;760;0.10256410256410256;0.5106382978723404
n59;2230;0.0;0.0;3703;0.003929273084479371;0.13333333333333333;3534;0.009278350515463918;0.3;3220;0.003579952267303103;0.1;4066;0.0;0.0;996;0.0029585798816568047;0.03333333333333333;4125;0.0;0.0;3069;0.00681044267877412;0.2
n60;238;0.22950819672131148;0.9333333333333333;268;0.2153846153846154;0.9333333333333333;187;0.27450980392156865;0.9333333333333333;272;0.20588235294117646;0.9333333333333333;285;0.1891891891891892;0.9333333333333333;271;0.203125;0.8666666666666667;285;0.19718309859154928;0.9333333333333333;263;0.21875;0.9333333333333333
n61;2321;0.05161290322580645;0.8571428571428571;1848;0.0696969696969697;0.8214285714285714;1874;0.08064516129032258;0.8928571428571429;1887;0.08196721311475409;0.8928571428571429;2069;0.061170212765957445;0.8214285714285714;3534;0.016241299303944315;0.5;1771;0.08247422680412371;0.8571428571428571;1969;0.07418397626112759;0.8928571428571429
n62;850;0.02631578947368421;0.10294117647058823;1083;0.061224489795918366;0.2647058823529412;865;0.04230769230769231;0.16176470588235295;1101;0.05466237942122187;0.25;909;0.06329113924050633;0.22058823529411764;713;0.0;0.0;914;0.06382978723404255;0.22058823529411764;865;0.15789473684210525;0.5294117647058824
n63;2105;0.0702576112412178;0.625;2072;0.012658227848101266;0.14583333333333334;2429;0.011804384485666104;0.14583333333333334;2272;0.012522361359570662;0.14583333333333334;2273;0.040160642570281124;0.4166666666666667;2241;0.006734006734006734;0.08333333333333333;2274;0.04073319755600815;0.4166666666666667;1779;0.0782122905027933;0.5833333333333334
n64;1467;0.04276315789473684;0.5;1177;0.052;0.5;1202;0.06060606060606061;0.5384615384615384;1390;0.057692307692307696;0.5769230769230769;1371;0.07251908396946564;0.7307692307692307;1360;0.0749063670411985;0.7692307692307693;1368;0.07279693486590039;0.7307692307692307;1370;0.0703125;0.6923076923076923
n65;2200;0.03926701570680628;0.7142857142857143;1997;0.040697674418604654;0.6666666666666666;2097;0.046511627906976744;0.7619047619047619;2046;0.04984423676012461;0.7619047619047619;1948;0.046052631578947366;0.6666666666666666;2762;0.0;0.0;1948;0.053691275167785234;0.7619047619047619;2044;0.049689440993788817;0.7619047619047619
n66;2033;0.028462998102466792;0.4838709677419355;735;0.0989010989010989;0.5806451612903226;1092;0.04744525547445255;0.41935483870967744;758;0.06806282722513089;0.41935483870967744;658;0.08496732026143791;0.41935483870967744;631;0.1038961038961039;0.5161290322580645;668;0.08496732026143791;0.41935483870967744;903;0.05701754385964912;0.41935483870967744
n67;1174;0.049107142857142856;0.6111111111111112;1016;0.0893854748603352;0.8888888888888888;1069;0.08673469387755102;0.9444444444444444;1010;0.1069182389937107;0.9444444444444444;1091;0.09289617486338798;0.9444444444444444;1094;0.09289617486338798;0.9444444444444444;1090;0.08994708994708994;0.9444444444444444;845;0.01694915254237288;0.16666666666666666
n68;1096;0.07906976744186046;0.68;1156;0.07142857142857142;0.64;1837;0.002178649237472767;0.04;993;0.012195121951219513;0.12;609;0.025;0.16;188;0.012195121951219513;0.04;608;0.025;0.16;1016;0.06701030927835051;0.52
n69;1009;0.125;0.84375;1081;0.09691629955947137;0.6875;932;0.13917525773195877;0.84375;891;0.1404494382022472;0.78125;934;0.12560386473429952;0.8125;893;0.13612565445026178;0.8125;993;0.09821428571428571;0.6875;957;0.13756613756613756;0.8125
n70;731;0.03669724770642202;0.08333333333333333;1350;0.11559139784946236;0.4479166666666667;1632;0.1108433734939759;0.4791666666666667;1260;0.13793103448275862;0.5;1332;0.12430939226519337;0.46875;1342;0.13165266106442577;0.4895833333333333;1692;0.07783018867924528;0.34375;1304;0.13920454545454544;0.5104166666666666
n71;2253;0.07552083333333333;0.58;2395;0.07435897435897436;0.58;2284;0.07526881720430108;0.56;2263;0.078125;0.6;2229;0.08152173913043478;0.6;2283;0.06635071090047394;0.56;2227;0.08356545961002786;0.6;2309;0.07575757575757576;0.6
n72;2354;0.09090909090909091;0.75;2401;0.07552083333333333;0.6590909090909091;2553;0.08395061728395062;0.7727272727272727;2451;0.08290155440414508;0.7272727272727273;2543;0.08312342569269521;0.75;2518;0.03587443946188341;0.36363636363636365;2397;0.08310991957104558;0.7045454545454546;2508;0.0829145728643216;0.75
n73;4014;0.041474654377880185;0.675;4817;0.03636363636363636;0.7;3865;0.040372670807453416;0.65;3741;0.05226480836236934;0.75;3992;0.04552590266875981;0.725;3879;0.04538087520259319;0.7;3978;0.04552590266875981;0.725;3664;0.05309734513274336;0.75
n74;1531;0.007042253521126761;0.13333333333333333;762;0.07317073170731707;0.8;835;0.07777777777777778;0.9333333333333333;733;0.07947019867549669;0.8;757;0.037267080745341616;0.4;765;0.03592814371257485;0.4;751;0.03680981595092025;0.4;661;0.104;0.8666666666666667
n75;421;0.17647058823529413;0.8823529411764706;414;0.16666666666666666;0.8823529411764706;404;0.17045454545454544;0.8823529411764706;398;0.18072289156626506;0.8823529411764706;427;0.15306122448979592;0.8823529411764706;422;0.15625;0.8823529411764706;430;0.15151515151515152;0.8823529411764706;448;0.16483516483516483;0.8823529411764706
n76;478;0.12380952380952381;0.8125;488;0.1388888888888889;0.9375;395;0.11363636363636363;0.625;461;0.1368421052631579;0.8125;454;0.14583333333333334;0.875;452;0.15053763440860216;0.875;456;0.14583333333333334;0.875;447;0.13131313131313133;0.8125
n77;1024;0.08383233532934131;0.6666666666666666;998;0.10975609756097561;0.8571428571428571;1055;0.08092485549132948;0.6666666666666666;1021;0.0736196319018405;0.5714285714285714;975;0.0880503144654088;0.6666666666666666;971;0.0875;0.6666666666666666;975;0.08860759493670886;0.6666666666666666;952;0.08;0.5714285714285714
n78;1299;0.102803738317757;0.7586206896551724;1250;0.10185185185185185;0.7586206896551724;1261;0.10344827586206896;0.7241379310344828;1232;0.10945273631840796;0.7586206896551724;1197;0.09844559585492228;0.6551724137931034;1192;0.1;0.6551724137931034;1197;0.09895833333333333;0.6551724137931034;1288;0.1050228310502283;0.7931034482758621
n79;2199;0.05642023346303502;0.5576923076923077;1309;0.13167259786476868;0.7115384615384616;1452;0.10094637223974763;0.6153846153846154;1288;0.13765182186234817;0.6538461538461539;1581;0.10030395136778116;0.6346153846153846;1387;0.10344827586206896;0.6346153846153846;1327;0.09698996655518395;0.5576923076923077;715;0.05699481865284974;0.21153846153846154
n80;1139;0.12844036697247707;0.7567567567567568;1120;0.1141552511415525;0.6756756756756757;1155;0.12442396313364056;0.7297297297297297;1032;0.09777777777777778;0.5945945945945946;1215;0.1206896551724138;0.7567567567567568;273;0.0;0.0;1234;0.12017167381974249;0.7567567567567568;1137;0.09956709956709957;0.6216216216216216
n81;1327;0.043478260869565216;0.7692307692307693;1297;0.046296296296296294;0.7692307692307693;1327;0.04608294930875576;0.7692307692307693;1243;0.050761421319796954;0.7692307692307693;1193;0.03571428571428571;0.5384615384615384;1178;0.03608247422680412;0.5384615384615384;1196;0.03535353535353535;0.5384615384615384;1216;0.05319148936170213;0.7692307692307693
n82;1442;0.0931174089068826;0.696969696969697;1723;0.05351170568561873;0.48484848484848486;1448;0.09387755102040816;0.696969696969697;1549;0.08494208494208494;0.6666666666666666;1507;0.07307692307692308;0.5757575757575758;1461;0.039603960396039604;0.36363636363636365;1513;0.07224334600760456;0.5757575757575758;1571;0.08178438661710037;0.6666666666666666
n83;1623;0.08391608391608392;0.7272727272727273;1566;0.06020066889632107;0.5454545454545454;1665;0.07718120805369127;0.696969696969697;1607;0.08303249097472924;0.696969696969697;1413;0.05818181818181818;0.48484848484848486;1269;0.053231939163498096;0.42424242424242425;1391;0.05818181818181818;0.48484848484848486;1578;0.08273381294964029;0.696969696969697
n84;1469;0.08333333333333333;0.7241379310344828;1484;0.07954545454545454;0.7241379310344828;1312;0.09251101321585903;0.7241379310344828;1412;0.08677685950413223;0.7241379310344828;1309;0.09210526315789473;0.7241379310344828;1327;0.09292035398230089;0.7241379310344828;1317;0.09292035398230089;0.7241379310344828;1341;0.0875;0.7241379310344828
n85;1548;0.13580246913580246;0.8918918918918919;1504;0.13865546218487396;0.8918918918918919;1526;0.12903225806451613;0.8648648648648649;1506;0.12955465587044535;0.8648648648648649;1538;0.13360323886639677;0.8918918918918919;1514;0.11923076923076924;0.8378378378378378;1506;0.13389121338912133;0.8648648648648649;1542;0.12698412698412698;0.8648648648648649
n86;1033;0.1324200913242009;0.6444444444444445;1056;0.1261682242990654;0.6;1066;0.11261261261261261;0.5555555555555556;945;0.1267605633802817;0.6;686;0.0872093023255814;0.3333333333333333;1190;0.1038961038961039;0.5333333333333333;706;0.08333333333333333;0.3111111111111111;1224;0.12446351931330472;0.6444444444444445
n87;1047;0.1065989847715736;0.525;1102;0.165;0.825;895;0.09239130434782608;0.425;1103;0.09950248756218906;0.5;1236;0.15813953488372093;0.85;1306;0.15625;0.875;1200;0.1722488038277512;0.9;1150;0.1794871794871795;0.875
n88;1382;0.13580246913580246;0.8048780487804879;1427;0.12863070539419086;0.7560975609756098;1449;0.1274131274131274;0.8048780487804879;1419;0.14225941422594143;0.8292682926829268;1407;0.1306122448979592;0.7804878048780488;1453;0.1375;0.8048780487804879;1477;0.1346938775510204;0.8048780487804879;1419;0.136;0.8292682926829268
n89;1538;0.12867647058823528;0.7608695652173914;1327;0.1297071129707113;0.6739130434782609;1327;0.13877551020408163;0.7391304347826086;1373;0.13692946058091288;0.717391304347826;1303;0.1271186440677966;0.6521739130434783;1500;0.08163265306122448;0.5217391304347826;1277;0.14042553191489363;0.717391304347826;1390;0.12903225806451613;0.6956521739130435
n90;170;0.0;0.0;2455;0.02696078431372549;0.5238095238095238;2464;0.02696078431372549;0.5238095238095238;2073;0.014164305949008499;0.23809523809523808;169;0.0;0.0;154;0.0;0.0;1938;0.03133903133903134;0.5238095238095238;172;0.0;0.0
