Levenshtein; Jaccard; Overlap
n76;395;0.11363636363636363;0.625
n77;1055;0.08092485549132948;0.6666666666666666
n78;1261;0.10344827586206896;0.7241379310344828
n79;1452;0.10094637223974763;0.6153846153846154
n80;1155;0.12442396313364056;0.7297297297297297
n81;1327;0.04608294930875576;0.7692307692307693
n82;1448;0.09387755102040816;0.696969696969697
n83;1665;0.07718120805369127;0.696969696969697
n84;1312;0.09251101321585903;0.7241379310344828
n85;1526;0.12903225806451613;0.8648648648648649
n86;1066;0.11261261261261261;0.5555555555555556
n87;895;0.09239130434782608;0.425
n88;1449;0.1274131274131274;0.8048780487804879
n89;1327;0.13877551020408163;0.7391304347826086
n90;2464;0.02696078431372549;0.5238095238095238
n91;131;0.0;0.0
n92;429;0.06451612903225806;0.5
n93;2711;0.0087527352297593;0.14814814814814814
n94;1897;0.13414634146341464;0.8461538461538461
n95;2722;0.026530612244897958;0.52
n96;2983;0.05970149253731343;0.6857142857142857
n97;1342;0.10043668122270742;0.7419354838709677
n98;2798;0.04205607476635514;0.8181818181818182
n99;1929;0.06535947712418301;0.5405405405405406
n100;1669;0.0821917808219178;0.631578947368421
v1;242;0.3157894736842105;0.8571428571428571
v2;1884;0.030395136778115502;0.625
v3;1042;0.055900621118012424;1.0
v4;369;0.22340425531914893;0.42857142857142855
v5;1539;0.03902439024390244;1.0
v6;1324;0.06934306569343066;0.6333333333333333
v7;3632;0.0888468809073724;0.734375
v8;3698;0.09021113243761997;0.734375
v9;785;0.1721311475409836;0.9130434782608695
v10;526;0.2542372881355932;0.9090909090909091
v11;2881;0.05719921104536489;0.6904761904761905
v12;289;0.0;0.0
v13;2432;0.04285714285714286;0.6428571428571429
v14;448;0.0;0.0
v15;1951;0.04406779661016949;0.7222222222222222
v16;770;0.09950248756218906;0.46511627906976744
v17;3987;0.030362389813907934;0.7209302325581395
v18;4802;0.0007097232079489;0.1
v19;3523;0.042328042328042326;0.7272727272727273
v20;2372;0.004524886877828055;0.08695652173913043
v21;2256;0.0;0.0
v22;113;0.48484848484848486;0.7111111111111111
v23;1990;0.09217877094972067;0.7333333333333333
v24;299;0.0;0.0
v25;523;0.0392156862745098;0.375
v26;784;0.05472636815920398;0.6875
v27;1545;0.03305785123966942;0.7272727272727273
v28;1608;0.045081967213114756;0.7857142857142857
v29;1624;0.04583333333333333;0.7857142857142857
v30;1912;0.03728813559322034;0.7333333333333333
v31;779;0.18095238095238095;0.9047619047619048
v32;7623;0.004997501249375313;0.23255813953488372
v33;600;0.06923076923076923;0.6428571428571429
v34;1639;0.08108108108108109;0.9130434782608695
v35;1228;0.0;0.0
v36;798;0.16546762589928057;0.8846153846153846
v37;592;0.14864864864864866;0.7586206896551724
v38;2185;0.00303951367781155;0.2
v39;974;0.028985507246376812;0.6666666666666666
v40;741;0.037037037037037035;0.6666666666666666
v41;1126;0.037914691943127965;0.6666666666666666
v42;537;0.16037735849056603;0.8095238095238095
v43;498;0.19626168224299065;0.8076923076923077
v44;2124;0.016611295681063124;0.8333333333333334
v45;723;0.008695652173913044;0.25
v46;1459;0.04741379310344827;0.6875
v47;875;0.08275862068965517;0.75
v48;1613;0.10139860139860139;0.6590909090909091
v49;656;0.0975609756097561;0.8
v50;621;0.12413793103448276;0.782608695652174
v51;425;0.09090909090909091;0.43478260869565216
v52;2159;0.038781163434903045;0.4666666666666667
v53;429;0.0423728813559322;0.38461538461538464
v54;679;0.10919540229885058;0.7037037037037037
v55;660;0.13541666666666666;0.7647058823529411
v56;1343;0.0705521472392638;0.5897435897435898
v57;376;0.08333333333333333;1.0
v58;1081;0.08284023668639054;0.9333333333333333
v59;1252;0.045871559633027525;0.6521739130434783
v60;338;0.17346938775510204;0.85
v61;352;0.02727272727272727;0.05454545454545454
v62;450;0.019230769230769232;0.05454545454545454
v63;837;0.05232558139534884;0.5294117647058824
v64;1548;0.005797101449275362;0.2
v65;379;0.013333333333333334;0.09090909090909091
v66;557;0.029411764705882353;0.23076923076923078
v67;1194;0.01904761904761905;0.6666666666666666
v68;996;0.03067484662576687;0.8333333333333334
v69;946;0.16751269035532995;0.7857142857142857
v70;152;0.06666666666666667;1.0
v71;892;0.0;0.0
v72;1027;0.10699588477366255;0.8666666666666667
v73;692;0.10596026490066225;0.8888888888888888
v74;519;0.19827586206896552;0.92
v75;586;0.1386861313868613;0.6333333333333333
v76;2745;0.0021929824561403508;0.07407407407407407
v77;2230;0.02972972972972973;0.6875
v78;2518;0.01728395061728395;0.7
v79;5259;0.0008312551953449709;0.14285714285714285
v80;1038;0.06666666666666667;0.6666666666666666
v81;941;0.0374331550802139;0.4375
v82;1104;0.06565656565656566;0.65
v83;1264;0.057692307692307696;0.5454545454545454
v84;871;0.09302325581395349;0.8888888888888888
v85;1544;0.04482758620689655;0.65
v86;1354;0.024489795918367346;0.75
v87;2378;0.04086021505376344;0.6333333333333333
v88;693;0.047619047619047616;0.5833333333333334
v89;735;0.03773584905660377;0.5
v90;1434;0.038901601830663615;0.5151515151515151
