Levenshtein; Jaccard; Overlap
n93;2750;0.0;0.0
n94;2393;0.11333333333333333;0.8717948717948718
n95;3129;0.04338394793926247;0.8
n96;1329;0.01597444089456869;0.14285714285714285
n97;1081;0.09473684210526316;0.5806451612903226
n98;1709;0.008108108108108109;0.13636363636363635
n99;1886;0.08928571428571429;0.6756756756756757
n100;1931;0.1054421768707483;0.8157894736842105
v1;250;0.3392857142857143;0.9047619047619048
v2;2378;0.02368421052631579;0.5625
v3;1041;0.018633540372670808;0.3333333333333333
v4;304;0.2;0.3469387755102041
v5;1381;0.04;1.0
v6;1297;0.07723577235772358;0.6333333333333333
v7;3640;0.08712121212121213;0.71875
v8;3662;0.09177820267686425;0.75
v9;742;0.1721311475409836;0.9130434782608695
v10;509;0.2542372881355932;0.9090909090909091
v11;2647;0.06490384615384616;0.6428571428571429
v12;333;0.0;0.0
v13;2342;0.051351351351351354;0.6785714285714286
v14;1547;0.11379310344827587;0.717391304347826
v15;356;0.008264462809917356;0.05555555555555555
v16;802;0.11229946524064172;0.4883720930232558
v17;787;0.09844559585492228;0.4418604651162791
v18;875;0.0;0.0
v19;3301;0.04466019417475728;0.696969696969697
v20;2219;0.00546448087431694;0.08695652173913043
v21;1943;0.0;0.0
v22;116;0.4084507042253521;0.6444444444444445
v23;1899;0.08682634730538923;0.6444444444444445
v24;124;0.0;0.0
v25;341;0.053763440860215055;0.3125
v26;565;0.08029197080291971;0.6875
v27;1552;0.03333333333333333;0.7272727272727273
v28;1393;0.05;0.7857142857142857
v29;1602;0.036885245901639344;0.6428571428571429
v30;1870;0.039711191335740074;0.7333333333333333
v31;703;0.18095238095238095;0.9047619047619048
v32;531;0.1986754966887417;0.6976744186046512
v33;563;0.08181818181818182;0.6428571428571429
v34;1527;0.08936170212765958;0.9130434782608695
v35;265;0.0;0.0
v36;788;0.17037037037037037;0.8846153846153846
v37;585;0.12658227848101267;0.6896551724137931
v38;735;0.043689320388349516;0.9
v39;887;0.04201680672268908;0.8333333333333334
v40;690;0.0449438202247191;0.6666666666666666
v41;952;0.03763440860215054;0.5833333333333334
v42;524;0.16831683168316833;0.8095238095238095
v43;516;0.17699115044247787;0.7692307692307693
v44;2049;0.01718213058419244;0.8333333333333334
v45;677;0.03305785123966942;1.0
v46;1179;0.05154639175257732;0.625
v47;872;0.0728476821192053;0.6875
v48;1414;0.11328125;0.6590909090909091
v49;460;0.07;0.4666666666666667
v50;519;0.09090909090909091;0.5217391304347826
v51;411;0.07476635514018691;0.34782608695652173
v52;3377;0.007202881152460984;0.2
v53;212;0.031746031746031744;0.15384615384615385
v54;382;0.03305785123966942;0.14814814814814814
v55;254;0.0;0.0
v56;1243;0.12213740458015267;0.8205128205128205
v57;813;0.040983606557377046;0.8333333333333334
v58;816;0.013605442176870748;0.13333333333333333
v59;803;0.10810810810810811;0.6956521739130435
v60;310;0.2535211267605634;0.9
v61;388;0.0;0.0
v62;370;0.016260162601626018;0.03636363636363636
v63;738;0.041666666666666664;0.35294117647058826
v64;3120;0.0;0.0
v65;398;0.09722222222222222;0.6363636363636364
v66;489;0.0989010989010989;0.6923076923076923
v67;823;0.027777777777777776;0.6666666666666666
v68;562;0.010309278350515464;0.16666666666666666
v69;930;0.18617021276595744;0.8333333333333334
v70;26;0.0;0.0
v71;839;0.0;0.0
v72;845;0.15028901734104047;0.8666666666666667
v73;653;0.11627906976744186;0.8333333333333334
v74;454;0.23655913978494625;0.88
v75;614;0.12307692307692308;0.5333333333333333
v76;1901;0.0;0.0
